Komentar,UI/UX,Functionality,Subscription & Pricing,Content Quality,Technical & Access
"Konten beritanya akurat dan terpercaya bgt, worth it banget langganan premium Kompas. Puas sama kualitas dan harganya yang reasonable. Mantap Kompas! 😊👏",,,,1.0,
"Konten beritanya akurat dan terpercaya, worth it buat berlangganan kompas",,,,1.0,
"Konten beritanya banyak yg ga kredibel dan misleading, jadi kecewa bgt sama kualitasnya",,,,-1.0,
"Konten beritanya berpihak bgt, ga objektif dan kurang berbobot",,,,-1.0,
"Konten beritanya ga kredibel..selalu berpihak dan bikin opini publik jadi tersesat..udah kotor BANGET DAN TIDAK OBJEKTIF...kritik boleh, tapi kalo nyebarkan berita palsu, itu udah sangat merugikan",,,,-1.0,
"Konten beritanya jelek bgt, masih minta bayaran lagi.. parah",,,,-1.0,
Konten beritanya komprehensif dan variatif banget.,,,,1.0,
Konten beritanya kurang detail dan tidak menyeluruh,,,,-1.0,
"Konten beritanya kurang mendalam, aplikasi news kompetitor jauh lebih komprehensif",,,,-1.0,
"Konten beritanya sangat akurat dan terpercaya, selalu update dengan informasi terkini yg bikin gw jadi lebih informed setiap hari, meskipun ada beberapa bug teknis tp overall aplikasinya really helpful bgt untuk baca koran Kompas secara digital.",,,,1.0,
"Konten beritanya sangat informatif, akurat, dan bisa diandalkan untuk mendapatkan informasi yang berkualitas dan menarik",,,,1.0,
"Konten beritanya sangat mendalam dan berimbang, tidak berat sebelah dan benar-benar objektif. Semoga Kompas.id terus maju dan layanannya semakin mudah diakses oleh semua orang.",,,,1.0,
"Konten beritanya selalu aktual dan kredibel, jadi jadi sumber informasi yang bisa diandalkan untuk mendapatkan berita terkini yang akurat.",,,,1.0,
"Konten beritanya selalu aktual dan memberikan kesempatan bagi suara masyarakat pelosok untuk dimuat di platform nasional, sangat membantu kami yang ada di daerah terpencil.",,,,1.0,
"Konten beritanya selalu akurat, menarik, dan terpercaya banget, mantap!",,,,1.0,
"Konten beritanya selalu fresh dan terpercaya, keep it up bang!",,,,1.0,
"Konten beritanya selalu fresh, akurat, dan bisa diandalkan jadi ga akan bosan buka apps ini.",,,,1.0,
"Konten beritanya selalu terkini dan kredibel, jadi saya senang baca di sini",,,,1.0,
Konten beritanya terpercaya dan berimbang banget,,,,1.0,
Konten beritanya terpercaya dan komprehensif bgt,,,,1.0,
Konten beritanya terpercaya dan sangat informatif,,,,1.0,
"Konten beritanya tuh komplit bgt sih, selalu update dan informatif, cuma sayang fitur pencarian berita lama kurang praktis banget.",,,,1.0,
Konten cerpen dan TTS Kompas minggu ini sangat berkualitas dan bikin terhibur banget..,,,,1.0,
"Konten di bagian cetak dan e-paper jarang di-update meski udah di-refresh berkali-kali, sangat mengecewakan",,,,-1.0,
"Konten di bagian cetak dan e-paper jarang di-update, meskipun udah di-refresh berkali-kali bgt",,,,-1.0,
"Konten di bagian cetak dan e-paper nya sering ketinggalan update, meski udah di refresh berkali-kali",,,,-1.0,
"Konten olahraga dan teknologi di kompas terlalu superfisial, cuma fokus berita besar aja tanpa pembahasan yang mendalam.",,,,-1.0,
"Konten olahraga dan teknologi di kompas.id terlalu superfisial, cuma fokus ke berita headline aja tanpa pendalaman yg memadai.",,,,-1.0,
"Konten rubrik Jendela ga lengkap di edisi cetak, cuma bisa dibaca di versi berbayar yang harganya mahal bgt, sangat mengecewakan padahal itu rubrik favorit saya.",,,,-1.0,
"Konten rubrik Jendela ga tersedia di edisi cetak, padahal itu bagian penting yg harusnya ada. Kecewa bgt harus bayar premium segala buat akses konten yg seharusnya lengkap, harganya juga mahal banget sampe jutaan. Sangat mengecewakan.",,,,-1.0,
"Konten rubrik Jendela ga tersedia di edisi cetak, padahal itu konten unggulan yg harusnya ada. Mesti bayar mahal buat akses digital, sangat mengecewakan banget.",,,,-1.0,
"Konten sampah tapi minta bayar, sayang banget deh",,,-1.0,,
"Konten teknologi di aplikasi ini ketinggalan berita, udah diulas media lain seminggu sebelumnya jadi terasa kadaluarsa banget.",,,,-1.0,
"Konten-kontennya sangat informatif dan bermanfaat banget, makasih Kompas!",,,,1.0,
Kontennya akurat dan gampang diakses banget,,,,1.0,
"Kontennya akurat dan kredibel banget, ga ada berita palsu. Saya rutin baca setiap hari. Semoga terus jaga standar jurnalisme yang bagus.",,,,1.0,
"Kontennya akurat dan selalu terkini, sangat informatif banget",,,,1.0,
"Kontennya banyak yg ga kredibel dan sering misleading, jadi kecewa bgt sama kualitas beritanya skrg",,,,-1.0,
"Kontennya banyak yg tidak kredibel dan sering meleset dr fakta, jadi malas buka aplikasinya",,,,-1.0,
"Kontennya berkualitas banget, bisa nambah wawasan dan pengetahuan setiap hari.",,,,1.0,
"Kontennya berkualitas dan selalu update, jadi bener-bener bisa jadi teman setia buat ngopi pagi hari. Kompas dalam genggaman ini terbukti informatif dan terpercaya banget!",,,,1.0,
"Kontennya informatif dan berbobot, sayang harus bayar berlangganan",,,,1.0,
Kontennya lengkap dan sangat informatif banget 👍,,,,1.0,
Kontennya sangat akurat dan selalu update banget,,,,1.0,
Kontennya selalu aktual dan terpercaya banget,,,,1.0,
Kontennya semakin berkualitas dan terpercaya banget,,,,1.0,
Kontennya seru dan selalu update banget,,,,1.0,
Langganan digital jauh lebih hemat daripada beli koran cetak tiap hari,,,1.0,,
"Langganan digital jauh lebih hemat dibanding beli koran fisik setiap hari, jadi ga perlu keluar banyak uang lagi",,,1.0,,
"Langganan kompas id sangat worth it, dapet berita berkualitas tanpa gangguan iklan sama sekali",,,1.0,,
"Langganan premium buat baca berita, padahal masyarakat butuh akses gratis buat tambah pengetahuan",,,-1.0,,
Langganan saya ilang 2 kali dalam setahun padahal baru beberapa bulan diaktifkan,,,,,-1.0
"Langganan tahunan Kompas.id jauh lebih menguntungkan dibanding bayar per bulan, bener-bener hemat banget 💰",,,1.0,,
"Langganan tahunan udah bayar mahal, tapi aplikasi malah force close terus kalo login. Kalo di-uninstall terus di-install ulang bisa normal, tapi ya cuma bisa baca artikel gratis doang. Rugi banget deh bayar subscription yearly kalo gini terus, CS pun cuma nyaranin pake browser aja. Tolong diperbaiki dong!",,,-1.0,,
"Langganan udah dibayar Rp360,000 tapi akun ga bisa diaktifkan, terus pas login ulang malah ditagih lagi Rp359,000 sama Apple. Pembayaran pertama hilang dari sistem, support bilang statusnya dihapus. Ini error server apa gimana sih?",,,,,-1.0
"Langganannya susah dibatalkan, terasa menjebak banget.",,,-1.0,,
Layanan customer service kompas id cukup cepat merespons ketika saya mengalami masalah login berlangganan,,,,,1.0
Layanan customer service kompas id sangat responsif dan cepat banget bantu atasi masalah login saya,,,,,1.0
Layanan customer service kompas id sangat responsif saat saya mengalami masalah login berlangganan,,,,,1.0
"Layout menu edisi digital yang mirip dengan koran cetak bikin pengalaman membaca terasa natural, dan interface aplikasinya super user-friendly sehingga bisa nikmatin konten Kompas kapan aja dan dimana aja tanpa ribet.",1.0,,,,
"Layoutnya berantakan, susah dibaca artikelnya gara-gara penempatan teks yang ga rapi.",-1.0,,,,
"Layoutnya rapi dan nyaman dipandang, desainnya bikin mata ga lelah saat baca artikel.",1.0,,,,
"Lebih hemat banget dibanding beli koran cetak, harga langganan digital Kompas jauh lebih terjangkau",,,1.0,,
"Lebih hemat dan praktis berlangganan versi digital Kompas dibanding beli koran fisik, bisa dibaca kapan saja dimana saja 🙂",,,1.0,,
"Lebih hemat dan praktis langganan digital Kompas.id dibanding beli koran cetak, bisa dibaca kapan aja dan dimana aja tanpa repot 🙂",,,1.0,,
"Lebih hemat langganan digital Kompas.id dibanding beli koran cetak, praktis dibawa kemana-mana dan bisa dibaca kapan saja 😊",,,1.0,,
"Lumayan sih, tapi artikelnya sering ga akurat banget..",,,,-1.0,
Mantap dapet promo jadi subscriber,,,1.0,,
"Mantap, antarmukanya bikin nyaman baca dan makin betah lama-lama 😍 thanks Kompas.id",1.0,,,,
"Masa berita aja harus bayar sih, sayang banget 😤",,,-1.0,,
"Masa harus bayar 50k cuma buat baca berita, padahal berita yang sama bisa didapat gratis di aplikasi lain dengan gampang",,,-1.0,,
"Masa harus bayar langganan buat baca berita sih...sayang bgt aplikasinya jadi gak worth it, mending uninstall aja deh.",,,-1.0,,
Masih ragu-ragu mau ambil paket berlangganan atau engga,,,0.0,,
Mau baca berita aja harus keluar duit...?!,,,-1.0,,
Mau baca berita doang aja harus berlangganan 🤣🤣,,,-1.0,,
"Mau baca berita lengkap harus bayar berlangganan dulu, sayang banget 😭 Jadi gak bisa dapetin informasi detail tanpa upgrade. Aplikasi ini kurang membantu buat saya...",,,-1.0,,
"Mau baca berita offline tapi langsung disuruh bayar, ga ada coba-coba dulu.",,,-1.0,,
Mau coba paket gratis dulu sebelum beli paket premium,,,0.0,,
"Menurut saya UI/Ukompas bisa dibuat lebih ramah pengguna. Dan lebih sedikit bug, update yang cepat. Terima kasih",0.0,,,,0.0
"Menurut saya kurang memuaskan, terlalu banyak konten yg dikunci di balik paywall. Design sama tata letaknya sih lumayan, tapi sayang harus bayar terus.",,,-1.0,,
"Meski berlangganan, berita dan artikelnya jauh lebih berkualitas dan terpercaya dibanding aplikasi lain. Recommended!",,,,1.0,
"Meskipun aplikasinya sering bermasalah, isi beritanya sangat berkualitas dan terpercaya, jadi sayang banget kalau fitur teknisnya kurang optimal padahal konten Kompas.id emang jadi salah satu sumber informasi paling akurat dan kredibel yang bisa diandalkan.",,,,1.0,
Minta fitur dark mode,0.0,,,,
"Mohon KOMPAS menambah liputan mendalam tentang industri sawit, khususnya terkait kebijakan pajak pemerintah dan penetapan harga oleh pabrik sehingga pembaca dapat memahami situasi petani sawit secara lebih komprehensif.",,,,0.0,
"Mohon KOMPAS selalu memastikan berita yg disajikan akurat, berimbang, dan terkini supaya bisa menjadi referensi terpercaya bagi seluruh masyarakat 🙏",,,,0.0,
"Mohon KOMPAS selalu memastikan berita yg disajikan akurat, terkini, dan berimbang supaya bisa menjadi sumber informasi terpercaya bagi masyarakat 🙏",,,,0.0,
Mohon Kompas bisa memperluas jangkauan berita mengenai isu-isu lingkungan dan perubahan iklim di setiap edisi.,,,,0.0,
Mohon Kompas lebih cepat dalam menyajikan berita saat terjadi peristiwa penting agar informasi dapat diakses dengan tepat waktu.,,,,0.0,
Mohon Kompas memperluas jangkauan berita tentang isu-isu lingkungan dan perubahan iklim.,,,,0.0,
Mohon Kompas menambah jumlah episode podcast berita agar pembaca yang lebih suka format audio bisa mendapatkan konten lebih banyak,,,,0.0,
Mohon Kompas menambah liputan tentang permasalahan industri sawit agar pembaca lebih memahami situasi petani sawit dan kebijakan pemerintah terkait sektor ini.,,,,0.0,
Mohon Kompas menambah variasi konten audio berita agar pembaca yang lebih suka format podcast bisa lebih terlayani,,,,0.0,
Mohon Kompas menambahkan lebih banyak artikel edukatif yang sesuai dengan kebutuhan generasi muda saat ini.,,,,0.0,
Mohon Kompas menambahkan lebih banyak masukan dari para ahli di setiap liputan isu penting,,,,0.0,
Mohon Kompas menambahkan visualisasi data lebih banyak untuk memperjelas penyajian berita-berita yang rumit.,,,,0.0,
Mohon Kompas menyajikan artikel investigasi yang lebih terstruktur dan komprehensif untuk topik-topik utama.,,,,0.0,
Mohon Kompas tambahkan lebih banyak artikel mendalam tentang isu-isu aktual agar pembaca dapat memahami konteks berita dengan lebih lengkap.,,,,0.0,
Mohon Kompas terus mempertahankan objektivitas dalam menyajikan setiap berita,,,,0.0,
Mohon Kompas tetap menjaga objektivitas dan keseimbangan dalam setiap pemberitaan.,,,,0.0,
Mohon Kompas untuk menambahkan analisis mendalam dari para pakar di setiap berita utama yang disajikan.,,,,0.0,
Mohon Kompas.id lebih banyak menyajikan liputan ekonomi dan bisnis yang diperbarui setiap hari.,,,,0.0,
Mohon Kompas.id lebih sering menampilkan pendapat dari para pakar terkait isu-isu utama yg dibahas,,,,0.0,
Mohon Kompas.id menambahkan lebih banyak artikel mendalam tentang isu-isu lingkungan dan perubahan iklim.,,,,0.0,
Mohon Kompas.id tetap menyajikan berita yang kritis terhadap semua pihak tanpa pandang bulu.,,,,0.0,
"Mohon UI aplikasi Kompas bisa diperbarui agar lebih user-friendly dan responsif, serta meminimalkan bug. Terima kasih",0.0,,,,
Mohon ada opsi pengaturan ukuran font agar teks bisa dibaca dengan lebih jelas sesuai preferensi pengguna.,0.0,,,,
Mohon ada opsi untuk mengubah skema warna tampilan beranda selain biru khas Kompas.,0.0,,,,
"Mohon admin kompas, apakah bisa menambah kuota artikel gratis per bulannya untuk memudahkan pelajar dan mahasiswa mengakses berita tanpa biaya langganan, karena saat ini hanya tersedia tiga kali baca gratis saja.",,,0.0,,
Mohon aplikasi Kompas bisa diakses dengan lebih lancar di perangkat Android dan tersedia gratis.,,,,,0.0
Mohon aplikasi ini menambah jumlah episode podcast berita agar pembaca yg lebih suka format audio bisa terpenuhi kebutuhannya,,,,0.0,
"Mohon aplikasi ini menambah konten analisis yang lebih mendalam, bukan hanya berita peristiwa saja.",,,,0.0,
Mohon artikel dari daerah di luar Jawa lebih sering ditampilkan agar cakupan beritanya lebih luas.,,,,0.0,
Mohon artikel sains dan teknologi di kompas lebih rutin diperbarui.,,,,0.0,
"Mohon bantu, bagaimana cara input kode voucher langganan kompas yang udah saya punya?",,,0.0,,
Mohon berita dari daerah Jawa Tengah bisa ditambah lagi ya.,,,,0.0,
"Mohon berita ekonomi dan bisnis di Kompas bisa lebih mendalam dan detail, supaya pembaca dapet informasi yg lebih komprehensif tentang dinamika pasar dan perusahaan.",,,,0.0,
"Mohon berita ekonomi dan bisnis di Kompas.id bisa lebih mendalam dan detail, supaya pembaca bisa dapetin informasi bisnis yg lebih komprehensif seperti di media bisnis khusus.",,,,0.0,
"Mohon berita ekonomi dan bisnis ditingkatkan dengan cakupan lebih detail dan mendalam, sehingga kompas bisa menjadi satu-satunya sumber informasi lengkap untuk semua aspek kehidupan.",,,,0.0,
Mohon berita kompas selalu diperbarui dengan cepat dan aktual setiap hari,,,,0.0,
Mohon berita sepak bola bisa diperbarui lebih rutin supaya selalu aktual.,,,,0.0,
"Mohon berita yang disajikan selalu berimbang, proporsional, dan mengutamakan kepentingan publik daripada kepentingan penguasa.",,,,0.0,
Mohon berita-berita penting bisa dimuat lebih cepat terutama saat ada peristiwa besar terjadi.,,,,0.0,
Mohon berita-berita rumit dilengkapi dengan visualisasi data agar lebih mudah dipahami pembaca.,,,,0.0,
Mohon berita-beritanya bisa lebih sering diperbarui agar tetap aktual 😊,,,,0.0,
Mohon berita-beritanya lebih sering diperbarui agar selalu aktual dan terkini 😊,,,,0.0,
Mohon beritanya ditambah liputan mendalam tentang isu-isu lingkungan dan perubahan iklim ya,,,,0.0,
Mohon beritanya lebih faktual dan detail ya..,,,,0.0,
"Mohon cakupan berita di kompas.id diperluas lagi hingga ke tingkat internasional supaya jangkauan pembaca semakin luas, dan tetap terjangkau biayanya.",,,,0.0,
"Mohon ditambahkan fitur baca nanti untuk semua artikel baik di web maupun aplikasi, karena masih ada beberapa artikel yang tidak memiliki fungsi tersebut. Terima kasih",,0.0,,,
Mohon ditambahkan fitur dark mode supaya layar tidak terlalu terang saat membaca di ruangan gelap.,0.0,,,,
Mohon ditambahkan fitur dark mode untuk mengurangi silau saat membaca di kondisi cahaya rendah.,0.0,,,,
Mohon ditambahkan fitur mode baca yang bisa menyembunyikan navigasi agar lebih fokus membaca,0.0,,,,
Mohon ditambahkan fitur mode fokus yang bisa menyembunyikan navigasi saat sedang membaca artikel,0.0,,,,
Mohon ditambahkan fitur pengaturan ukuran font agar tulisan bisa disesuaikan dengan preferensi pembaca.,0.0,,,,
Mohon ditambahkan fitur penyimpanan artikel supaya bisa dibaca di waktu mendatang.,,0.0,,,
Mohon ditambahkan fitur simpan artikel untuk dibaca kemudian di semua halaman baik aplikasi maupun web karena masih ada beberapa artikel yang tidak memiliki fungsi tersebut,,0.0,,,
Mohon ditambahkan kemampuan membaca e-paper tanpa koneksi internet agar bisa dinikmati saat penerbangan. Terima kasih,,0.0,,,
Mohon ditambahkan konten berita dari wilayah Jawa Tengah lebih banyak lagi.,,,,0.0,
Mohon ditambahkan liputan berita lebih banyak dari wilayah Jawa Tengah.,,,,0.0,
Mohon ditambahkan opsi tampilan landscape saat membaca artikel agar lebih luas,0.0,,,,
Mohon fitur baca nanti ditambahkan ke semua artikel di aplikasi dan web karena masih ada artikel yang belum memiliki fungsi tersebut,,0.0,,,
Mohon fitur kliping artikel bisa diakses offline tanpa perlu koneksi internet,,0.0,,,
Mohon fitur text to speech bisa tetap berjalan saat membuka aplikasi lain di background,,0.0,,,
Mohon jaga objektivitas dalam pemberitaan.,,,,0.0,
Mohon kompas bisa memperbanyak artikel mengenai isu-isu lingkungan dan perubahan iklim global.,,,,0.0,
Mohon kompas bisa memperluas cakupan berita seputar isu-isu lingkungan dan perubahan iklim.,,,,0.0,
Mohon kompas bisa menambahkan lebih banyak visualisasi data untuk membantu pembaca memahami berita-berita yang rumit.,,,,0.0,
"Mohon kompas lebih banyak mengangkat berita tentang industri sawit, khususnya terkait kebijakan pajak pemerintah dan penetapan harga oleh pabrik tanpa transparansi yg jelas.",,,,0.0,
"Mohon kompas lebih banyak mengangkat liputan mendalam tentang industri sawit, khususnya terkait kebijakan pajak dan mekanisme penetapan harga yg melibatkan petani dan pabrik.",,,,0.0,
"Mohon kompas lebih banyak mengulas tentang industri sawit, khususnya mengenai kebijakan pajak pemerintah dan mekanisme penetapan harga yg dilakukan pabrik sawit terhadap petani.",,,,0.0,
Mohon kompas lebih cepat dalam menyajikan berita saat terjadi peristiwa penting agar pembaca mendapat informasi secara tepat waktu.,,,,0.0,
Mohon kompas lebih rutin memberikan liputan ekonomi dan bisnis terkini setiap harinya,,,,0.0,
Mohon kompas lebih rutin memberikan update berita sektor ekonomi dan bisnis setiap harinya,,,,0.0,
Mohon kompas lebih rutin menambah liputan tentang perkembangan ekonomi dan bisnis setiap harinya,,,,0.0,
Mohon kompas lebih sering menghadirkan artikel investigatif yg lebih mendalam,,,,0.0,
Mohon kompas lebih sering menyajikan analisis mendalam dan terorganisir untuk topik-topik penting.,,,,0.0,
Mohon kompas lebih teliti dalam melakukan pengecekan dan validasi informasi sebelum menerbitkan berita.,,,,0.0,
Mohon kompas lebih teliti dalam memverifikasi dan meneliti setiap berita sebelum dipublikasikan,,,,0.0,
Mohon kompas lebih teliti dalam memverifikasi sumber dan data sebelum menerbitkan berita,,,,0.0,
Mohon kompas lebih teliti dalam mengumpulkan pernyataan dari semua narasumber sebelum menerbitkan berita.,,,,0.0,
Mohon kompas memastikan setiap artikel ditulis dengan standar jurnalistik yang konsisten oleh semua penulis.,,,,0.0,
Mohon kompas memastikan setiap artikel menyertakan perspektif dari semua pihak yang terkait dalam berita.,,,,0.0,
Mohon kompas memastikan setiap artikel sudah mengumpulkan perspektif dari semua pihak yang terkait sebelum dipublikasikan.,,,,0.0,
Mohon kompas memastikan setiap artikel tetap menjaga standar penulisan yang konsisten di semua rubrik dan penulis.,,,,0.0,
Mohon kompas memperbanyak artikel mendalam tentang isu-isu lingkungan dan perubahan iklim,,,,0.0,
Mohon kompas memperluas jangkauan artikel edukatif yang sesuai dengan kebutuhan anak muda,,,,0.0,
Mohon kompas mempertahankan standar objektivitas dan keseimbangan dalam setiap pemberitaannya.,,,,0.0,
Mohon kompas menambah jangkauan berita internasional agar lebih variatif dan komprehensif,,,,0.0,
Mohon kompas menambah jumlah artikel mendalam tentang isu-isu terkini agar pembaca bisa lebih memahami konteks berita dengan detail.,,,,0.0,
Mohon kompas menambah konten video singkat yang lebih mudah dipahami oleh pembaca,,,,0.0,
Mohon kompas menambah liputan investigasi mendalam yang lebih informatif dan terperinci,,,,0.0,
Mohon kompas menambahkan analisis mendalam dari para pakar di setiap liputan isu utama.,,,,0.0,
Mohon kompas menambahkan artikel mendalam dengan format yang lebih mudah dipahami,,,,0.0,
Mohon kompas menambahkan lebih banyak artikel investigasi mendalam yang terorganisir untuk topik-topik utama,,,,0.0,
Mohon kompas menambahkan lebih banyak wawancara dengan para ahli di setiap liputan isu utama,,,,0.0,
Mohon kompas menambahkan liputan lebih luas tentang warisan budaya dan seni tradisional Indonesia.,,,,0.0,
Mohon kompas menambahkan perspektif yang lebih beragam dalam meliput setiap isu yang diangkat.,,,,0.0,
Mohon kompas menggali lebih dalam setiap topik dan tidak hanya menyentuh permukaannya saja.,,,,0.0,
Mohon kompas perbanyak artikel edukatif yang lebih sesuai dengan kebutuhan anak muda saat ini.,,,,0.0,
Mohon kompas perbanyak penggunaan visual dan grafis untuk memperjelas penyajian berita-berita yang rumit.,,,,0.0,
Mohon kompas selalu mempertahankan standar jurnalisme yang tinggi dalam setiap penulisan artikelnya.,,,,0.0,
Mohon kompas selalu menjaga standar berita yang objektif dan tidak memihak,,,,0.0,
Mohon kompas selalu menjaga standar jurnalisme yang independen dan tidak memihak dalam setiap pemberitaannya.,,,,0.0,
Mohon kompas selalu objektif dalam meliput semua kalangan tanpa pandang bulu,,,,0.0,
Mohon kompas senantiasa menjaga standar objektifitas dan keseimbangan dalam setiap pemberitaan yang disajikan.,,,,0.0,
Mohon kompas sertakan lebih banyak artikel edukatif yg sesuai dengan kebutuhan anak muda saat ini.,,,,0.0,
Mohon kompas tambahkan format penyajian berita panjang yang lebih mudah dibaca,,,,0.0,
Mohon kompas tambahkan lebih banyak artikel berita dalam format audio agar pembaca yg lebih suka mendengarkan bisa tetap update,,,,0.0,
Mohon kompas tambahkan lebih banyak konten podcast berita agar pembaca yang lebih suka format audio bisa terpenuhi kebutuhannya.,,,,0.0,
Mohon kompas tambahkan lebih banyak konten podcast berita untuk pembaca yg lebih suka format audio,,,,0.0,
Mohon kompas tambahkan lebih banyak konten video singkat yang lebih mudah dipahami.,,,,0.0,
Mohon kompas tambahkan lebih banyak liputan tentang budaya dan seni tradisional dari berbagai daerah di Indonesia,,,,0.0,
Mohon kompas tambahkan liputan berita internasional yang lebih komprehensif dan variatif.,,,,0.0,
Mohon kompas terus memberikan liputan yang kritis terhadap semua kalangan tanpa pandang bulu.,,,,0.0,
Mohon kompas terus mempertahankan objektivitas dalam setiap pemberitaan yg disajikan.,,,,0.0,
Mohon kompas terus mempertahankan standar jurnalistik yang independen dan bebas dari pengaruh eksternal.,,,,0.0,
Mohon kompas terus mempertahankan standar jurnalistik yang tinggi dalam setiap penulisan beritanya.,,,,0.0,
Mohon kompas tetap konsisten dalam menjaga objektivitas dan keseimbangan dalam setiap liputan berita.,,,,0.0,
Mohon kompas tetap menjaga objektivitas dan keseimbangan perspektif dalam setiap berita yang ditayangkan,,,,0.0,
Mohon kompas tetap menjaga standar berita yang objektif dan bebas dari bias dalam setiap pemberitaan.,,,,0.0,
Mohon kompas tingkatkan format penyajian berita agar lebih mudah dibaca dan dipahami pembaca,,,,0.0,
Mohon kompas tingkatkan jumlah artikel investigasi dengan analisis yang lebih mendalam.,,,,0.0,
Mohon kompas tingkatkan ketersediaan artikel edukatif yang sesuai dengan kebutuhan anak muda.,,,,0.0,
Mohon kompas untuk lebih memperhatikan format penyajian berita panjang agar lebih mudah dibaca,,,,0.0,
Mohon kompas untuk memastikan setiap berita disajikan dengan perspektif yang seimbang dan berimbang.,,,,0.0,
Mohon kompas untuk menyajikan artikel mendalam dengan format yang lebih mudah dicerna pembaca.,,,,0.0,
Mohon kompas untuk menyajikan perspektif yang lebih beragam dalam meliput satu topik,,,,0.0,
Mohon kompas.id bisa memperluas jangkauan berita hingga ke tingkat internasional agar pembaca semakin luas dan mendapat informasi yang lebih menyeluruh.,,,,0.0,
"Mohon kompas.id memperluas jangkauan berita hingga ke tingkat internasional agar pembaca bisa mendapat informasi yg lebih luas lagi, dan tetap jaga aksesibilitas biayanya 🙏",,,,0.0,
Mohon kompas.id memperluas jangkauan berita hingga ke tingkat internasional agar pembaca bisa mendapatkan informasi yang lebih lengkap dan menyeluruh tanpa menambah biaya langganan.,,,,0.0,
Mohon kompas.id menambahkan artikel edukasi yang lebih sesuai dengan kebutuhan anak muda,,,,0.0,
Mohon kompas.id menambahkan artikel pendidikan yang lebih sesuai dengan kebutuhan generasi muda.,,,,0.0,
Mohon kompas.id menambahkan lebih banyak infografis supaya berita yang rumit jadi lebih mudah dipahami.,,,,0.0,
Mohon kompas.id menambahkan perspektif beragam dalam liputan setiap isu penting,,,,0.0,
Mohon kompas.id untuk memperbanyak update berita sektor ekonomi dan bisnis setiap harinya.,,,,0.0,
Mohon kompas.id untuk memperluas jangkauan berita hingga ke tingkat internasional agar pembaca bisa mendapatkan informasi yg lebih luas dan beragam 🙏,,,,0.0,
Mohon kompas.id untuk memperluas jangkauan liputan berita hingga ke tingkat internasional agar pembaca bisa mendapat perspektif global yang lebih lengkap.,,,,0.0,
"Mohon konten Kompas.id ditambah dengan format lain seperti podcast dan video pendek supaya lebih beragam selain berita, video, e-paper, dan artikel interaktif.",,,,0.0,
Mohon konten berita di kompas selalu diperbarui dengan informasi terbaru setiap hari,,,,0.0,
Mohon konten berita kompas.id selalu menyajikan perspektif dari berbagai pihak agar tetap berimbang,,,,0.0,
Mohon konten berita olahraga khususnya sepak bola ditambah frekuensi updatenya,,,,0.0,
Mohon konten berita sepak bola bisa ditambah frekuensi updatenya agar lebih aktual.,,,,0.0,
Mohon konten opini dan esai di kompas lebih banyak menampilkan perspektif dari berbagai kalangan dan sudut pandang.,,,,0.0,
Mohon konten opini dan esai di kompas lebih beragam dan mewakili berbagai perspektif yang ada.,,,,0.0,
Mohon konten opini dan esai di kompas.id lebih bervariasi dan mewakili berbagai perspektif pembaca,,,,0.0,
Mohon konten sepak bola bisa diperbarui lebih rutin agar tetap aktual.,,,,0.0,
Mohon konten sepak bola di bagian olahraga bisa lebih rutin diperbarui.,,,,0.0,
Mohon konten yang relevan untuk kalangan muda diperbanyak supaya lebih banyak pembaca muda yang tertarik membaca berita di aplikasi ini.,,,,0.0,
"Mohon konten yang relevan untuk kalangan muda diperbanyak supaya lebih menarik bagi pembaca milenial, dan semoga strategi promosi difokuskan pada nilai manfaat aplikasi premium daripada hanya cara downloadnya saja.",,,,0.0,
Mohon lebih banyak artikel tentang perkembangan usaha kecil dan menengah di tanah air,,,,0.0,
Mohon lebih sering update berita terkini agar konten tetap relevan dan aktual 😊,,,,0.0,
"Mohon liputan berita Kompas.id diperluas jangkauannya hingga ke tingkat internasional agar pembaca bisa mendapat perspektif global yang lebih luas, dan semoga biaya langganannya tetap terjangkau.",,,,0.0,
Mohon liputan berita kompas.id diperluas jangkauannya hingga ke tingkat internasional agar pembaca bisa mendapat perspektif global yang lebih luas.,,,,0.0,
Mohon liputan beritanya lebih mendalam dan tidak hanya sekadar permukaan saja.,,,,0.0,
Mohon liputan kompas.id bisa diperluas jangkauannya hingga ke tingkat internasional agar pembaca mendapat perspektif yg lebih luas ya,,,,0.0,
Mohon liputan sepak bola ditambah frekuensi updatenya agar lebih rutin.,,,,0.0,
Mohon pastikan berita yang dimuat sudah terverifikasi dengan baik yaa..,,,,0.0,
Mohon pastikan berita yang ditampilkan terverifikasi dan bukan hoax,,,,0.0,
Mohon pastikan liputan kompas selalu mencakup perspektif dari semua pihak yang terkait,,,,0.0,
Mohon pastikan setiap artikel kompas mencakup perspektif dari semua pihak yang berkepentingan,,,,0.0,
Mohon perbaiki fitur tab agar bisa menampilkan konten secara vertikal dengan sempurna. Terima kasih,,,,,0.0
Mohon perbaiki fitur tab agar tampilan bisa menyesuaikan dengan orientasi vertikal dengan sempurna. Terima kasih,,,,,0.0
Mohon perbaiki fitur tab agar tampilan bisa optimal saat diputar vertikal. Terima kasih,,,,,0.0
Mohon perbanyak artikel mendalam tentang perkembangan usaha kecil dan menengah di berbagai daerah indonesia,,,,0.0,
Mohon perbanyak artikel mengenai perkembangan bisnis skala kecil dan menengah di tanah air,,,,0.0,
